place,0,1,2,3,4,5,6,7,8,9
유프카페 중앙대후문점,"카페, 순",카페 더테이블,베브릿지 중앙대점,비틀쥬스 중앙대학교병원점,스노우플라워,카페비온후,카페노들수,멜로드,펠어커피 상도점,오후홍콩
그랩커피&브런치,"카페,로뎀",뚜스뚜스 흑석역점,더웨이,카페찌미스,매머드커피 상도역점,어펜딕스,바로요거,러윗츠,문커피,보트커피
"카페, 순",카페 더테이블,스노우플라워,카페비온후,유프카페 중앙대후문점,카페노들수,커피나무 중앙대정문점,카페잇 중앙대병원점,오후홍콩,베브릿지 중앙대점,페이브베이커리 흑석점
바로요거,앳더블랑,드웨이,던킨 흑석DT점,커피콩클럽,배스킨라빈스 흑석DT,브릿지엣지,던킨 중앙대병원점,카페미뇽 중앙대점,모녀당 상도점,요세프
청맥살롱,라임플레쉬카페,메이카페,카페필림,커피브라운,카페숨,엘에스와이랩,오티움 로스터리,LITITCOFFEE,커피나무 상도점,카페 루반
엘리스파이,브레드덕,브레드숨,우리동네 식빵해적단,참베이커리,가춘,프랑세즈,우리동네식빵,블랑제리꾸끄,파리바게트 상도역점,언니의식빵가게
LITITCOFFEE,오티움 로스터리,메이카페,커피나무 랩,커피더캠프 흑석역점,이디야 중앙대후문점,더치앤빈 흑리단길점,이디야커피 상도중앙점,st.535로스터리카페,스타벅스 숭실대입구역점,데일리커피
스타벅스 중앙대점,델리앤젤라또 중앙대병원점,스타벅스 숭실대입구역점,카페잇 중앙대병원점,카페디차,스타벅스 숭실대점,페이브베이커리 흑석점,셀렉토커피 상도두산점,이디야커피 중앙대점,GOODDAY COFFEE,카페노들수
카페미뇽 중앙대점,던킨 중앙대병원점,베러댄와플 중앙대점,배스킨라빈스 숭실대점,모녀당 상도점,배스킨라빈스 중앙대,던킨 흑석DT점,드웨이,설빙 서울중앙대점,멜로드,페이브베이커리 흑석점
스타벅스 숭실대점,오카페 흑석점,이디야 중앙대후문점,스타벅스 중앙대점,스타벅스 숭실대입구역점,델리앤젤라또 중앙대병원점,커피집,카페 빈,블루포트,카페잇 중앙대병원점,이디야커피 중앙대점
이디야커피 상도중앙점,달콩커피,이공커피 흑석본점,더치앤빈 흑리단길점,빽다방 숭실대점,블루포트 중앙대학교301관점,메가MGC커피 숭실대입구역점,메가MGC커피 상도중앙점,커피킹,마린커피,문커피
그루비,탐앤탐스 중앙대점,델리앤젤라또 중앙대병원점,페이브베이커리 흑석점,스타벅스 숭실대입구역점,스타벅스 중앙대점,GOODDAY COFFEE,흑석커피,카페잇 중앙대병원점,할리스 중앙대점,토크넌센스
매머드익스프레스 중앙대후문점,매머드익스프레스 중앙대점,메가MGC커피 상도중앙점,컴포즈커피 중앙대점,더벤티 중앙대점,메가MGC커피 숭실대입구역점,블루포트 중앙대학교301관점,메가MGC커피 중앙대점,커피에반하다 중앙대점 스마트 무인카페,커피킹,이공커피 흑석본점
