place,0,1,2,3,4,5,6,7,8,9
중앙대310관 카페,메가MGC커피 중앙대점,카페모찌 중앙대점,이디야커피 숭실대역점,블루포트 중앙대학교301관점,이디야커피 중앙대점,매머드익스프레스 중앙대후문점,컴포즈커피 중앙대점,매머드익스프레스 중앙대점,메가MGC커피 상도중앙점,메가MGC커피 숭실대입구역점
델리앤젤라또 중앙대병원점,스타벅스 중앙대점,카페잇 중앙대병원점,페이브베이커리 흑석점,스타벅스 숭실대입구역점,카페디차,스타벅스 숭실대점,오카페 흑석점,카페노들수,이디야커피 중앙대점,카페모찌 중앙대점
중앙대학교경영관카페드림,커피킹,빽다방 숭실대점,어펜딕스,이공커피 흑석본점,문커피,더벤티 중앙대점,메가MGC커피 숭실대입구역점,메가MGC커피 상도중앙점,달콩커피,이디야커피 상도중앙점
아이스조아 상도6호점,어펜딕스,중앙대학교경영관카페드림,매머드커피 상도역점,커피킹,커스텀요거트,더벤티 중앙대점,빽다방 숭실대점,이공커피 흑석본점,카페 러브구스토,매머드익스프레스 중앙대후문점
가성비,더치앤빈 흑리단길점,마린커피,엘에스와이랩,카페 빈,쉬어가는모퉁이커피한잔,달콩커피,카페아드리아,카페드림 중앙대법학관점,카페필림,문커피
더웨이,데일리커피,위드커피,카페힐우드,투앤나인,펠어커피 상도점,카페디차,보트커피,문커피,커피더캠프 흑석역점,셀렉토커피 상도두산점
블루포트,갓프레소 본점,카페 빈,모코커피,마린커피,이디야커피 중앙대점,하드앤빈스,메가MGC커피 중앙대점,카페모찌 중앙대점,커피집,카페아드리아
빽다방 숭실대점,커피킹,중앙대학교경영관카페드림,이공커피 흑석본점,이디야커피 상도중앙점,메가MGC커피 숭실대입구역점,달콩커피,메가MGC커피 상도중앙점,문커피,더벤티 중앙대점,어펜딕스
언니의식빵가게,가춘,브레드덕,우리동네식빵,브레드숨,파리바게뜨 중앙대점,오롯이 굽다,리치몽브레 흑석점,참베이커리,우리동네 식빵해적단,BGT호두단팥빵 숭실대역점
모코커피,커피브라운,커피에반하다 중앙대점 스마트 무인카페,모코커피,블루포트 중앙대학교102관점,하드앤빈스,탐앤탐스 중앙대점,바리스타조앤,메가MGC커피 중앙대점,갓프레소 본점,마린커피
요거프레소 중앙대점,카페노들수,멜로드,이디야커피 숭실대역점,아마스빈 중앙대점,마담콩cafe,오후홍콩,이디야커피 중앙대점,카페모찌 중앙대점,셀렉토커피 상도두산점,커피나무 중앙대정문점
커피집,블루포트,카페비온후,갓프레소 본점,스타벅스 숭실대점,스타벅스 중앙대점,GOODDAY COFFEE,하드앤빈스,오카페 흑석점,스타벅스 숭실대입구역점,모코커피
커피향기,쉬어가는모퉁이커피한잔,보트커피,카페 빈,셀렉토커피 상도두산점,카페아드리아,달콩커피,엘에스와이랩,더치앤빈 흑리단길점,문커피,가성비
배스킨라빈스 숭실대점,배스킨라빈스 중앙대,카페미뇽 중앙대점,브릿지엣지,배스킨라빈스 흑석DT,던킨 흑석DT점,커스텀요거트,크로플덕 오리아가씨 서울대입구점,설빙 서울중앙대점,이레호두,드웨이
카페잇 중앙대병원점,스타벅스 중앙대점,페이브베이커리 흑석점,델리앤젤라또 중앙대병원점,스타벅스 숭실대입구역점,카페디차,카페노들수,커피나무 중앙대정문점,커피나무 상도점,카페비온후,스타벅스 숭실대점
메가MGC커피 숭실대입구역점,메가MGC커피 상도중앙점,컴포즈커피 중앙대점,더벤티 중앙대점,블루포트 중앙대학교301관점,매머드익스프레스 중앙대후문점,이공커피 흑석본점,커피킹,매머드익스프레스 중앙대점,카페드림 중앙대법학관점,빽다방 숭실대점
바리스타조앤,빅토리아가든,GOODDAY COFFEE,하드앤빈스,모코커피,카페숨,스타벅스 숭실대입구역점,st.535로스터리카페,라임플레쉬카페,스타벅스 중앙대점,탐앤탐스 중앙대점
어펜딕스,중앙대학교경영관카페드림,커피킹,빽다방 숭실대점,이공커피 흑석본점,문커피,이디야커피 상도중앙점,달콩커피,더벤티 중앙대점,메가MGC커피 숭실대입구역점,더치앤빈 흑리단길점
블루포트 중앙대학교301관점,컴포즈커피 중앙대점,메가MGC커피 상도중앙점,메가MGC커피 숭실대입구역점,매머드익스프레스 중앙대후문점,이디야커피 상도중앙점,메가MGC커피 중앙대점,마린커피,달콩커피,이공커피 흑석본점,카페모찌 중앙대점
GOODDAY COFFEE,바리스타조앤,스타벅스 숭실대입구역점,st.535로스터리카페,스타벅스 중앙대점,하드앤빈스,커피집,블루포트,모코커피,빅토리아가든,갓프레소 본점
스타벅스 숭실대입구역점,스타벅스 중앙대점,카페잇 중앙대병원점,델리앤젤라또 중앙대병원점,카페디차,GOODDAY COFFEE,스타벅스 숭실대점,st.535로스터리카페,투앤나인,페이브베이커리 흑석점,흑석커피
커피브라운,라임플레쉬카페,바리스타조앤,모코커피,카페 루반,카페숨,엘에스와이랩,모코커피,카페힐,가성비,더치앤빈 흑리단길점
크로플덕 오리아가씨 서울대입구점,설빙 서울중앙대점,이레호두,베러댄와플 중앙대점,배스킨라빈스 중앙대,배스킨라빈스 숭실대점,카페미뇽 중앙대점,멜로드,비틀쥬스 중앙대학교병원점,커스텀요거트,유프카페 중앙대후문점
카페모찌 중앙대점,이디야커피 중앙대점,이디야커피 숭실대역점,카페 빈,셀렉토커피 상도두산점,블루포트,하드앤빈스,메가MGC커피 중앙대점,쉬어가는모퉁이커피한잔,블루포트 중앙대학교301관점,마린커피
카페아드리아,쉬어가는모퉁이커피한잔,카페 빈,마린커피,커피향기,달콩커피,카페드림 중앙대법학관점,가성비,메가MGC커피 숭실대입구역점,이디야커피 중앙대점,컴포즈커피 중앙대점
매머드커피 상도역점,어펜딕스,이공커피 흑석본점,중앙대학교경영관카페드림,문커피,더치앤빈 흑리단길점,카페 러브구스토,가성비,커피킹,빽다방 숭실대점,달콩커피
마담콩cafe,카페노들수,이디야커피 중앙대점,카페드림 중앙대법학관점,셀렉토커피 상도두산점,카페 빈,쉬어가는모퉁이커피한잔,커피나무 중앙대정문점,멜로드,카페모찌 중앙대점,요거프레소 중앙대점
쉬어가는모퉁이커피한잔,카페아드리아,커피향기,카페 빈,달콩커피,문커피,셀렉토커피 상도두산점,마린커피,엘에스와이랩,메가MGC커피 숭실대입구역점,가성비
보트커피,커피향기,문커피,쉬어가는모퉁이커피한잔,셀렉토커피 상도두산점,엘에스와이랩,달콩커피,더치앤빈 흑리단길점,카페아드리아,중앙대학교경영관카페드림,커피킹
비틀쥬스 중앙대학교병원점,블루버블 버블티,유프카페 중앙대후문점,베브릿지 중앙대점,정우원,크로플덕 오리아가씨 서울대입구점,공차 중앙대점,"카페, 순",설빙 서울중앙대점,펠어커피 상도점,요거프레소 중앙대점
셀렉토커피 상도두산점,카페 빈,이디야커피 중앙대점,쉬어가는모퉁이커피한잔,카페노들수,카페디차,커피향기,카페모찌 중앙대점,마담콩cafe,스타벅스 중앙대점,이디야커피 숭실대역점
