,가게이름,도로명,위도,경도
0,토크넌센스,서울 동작구 흑석로8길 7 Talk nonsense,37.5068369,126.9596700
1,THE한강,서울 동작구 노량진로32길 29-6,37.5123176,126.9569974
2,잔디속에있다고상상을해,서울 동작구 상도로 265-30 2층,37.5042303,126.9488386
3,뚜스뚜스 흑석역점,서울 동작구 현충로 75 원불교기념관 1층,37.5097591,126.9638593
4,브레드숨,서울 동작구 노량진로18길 37,37.5123599,126.9518134
5,모녀당 상도점,서울 동작구 양녕로 272 2층,37.5037148,126.9493042
6,프랑세즈,서울 동작구 현충로 96,37.5079352,126.9642622
7,터방내,서울 동작구 흑석로 101-7,37.5080571,126.9607653
8,컵오브커브,서울 동작구 현충로 99 1층,37.5081573,126.9648820
9,페이브베이커리 흑석점,서울 동작구 서달로14가길 1,37.5076573,126.9630909
10,토크넌센스,서울 동작구 흑석로8길 7 Talk nonsense,37.5068369,126.9596700
11,오후홍콩,서울 동작구 흑석로13가길 29 오후홍콩,37.5078929,126.9600895
12,베브릿지 중앙대점,서울 동작구 흑석로9길 4 1층 베브릿지 중앙대점,37.5076803,126.9599870
13,액션커피,서울 동작구 서달로15길 23 104호 액션커피,37.5084889,126.9616522
14,브라운필 빵공장,서울 동작구 흑석로 11 1층,37.5049704,126.9519089
15,커스텀요거트,서울 동작구 흑석로 91 1층 커스텀요거트,37.5074209,126.9597493
16,아츠베이커리,서울 동작구 현충로 52,37.5101302,126.9612878
17,펠어커피 상도점,서울 동작구 상도로41가길 12 1층 펠어커피,37.5030992,126.9504094
18,히뽀1997,서울 동작구 노량진로24길 36,37.5116682,126.9540589
19,베러댄와플 중앙대점,서울 동작구 서달로 163 세명빌딩 1층,37.5078889,126.9623927
20,"카페,로뎀",서울 동작구 현충로 94 1층 카페로뎀,37.5080488,126.9641975
21,드웨이,서울 동작구 상도로41마길 15 1층,37.5045769,126.9509104
22,가춘,서울 동작구 상도로 357,37.4969506,126.9535536
23,우리동네 식빵해적단,서울 동작구 상도로47가길 48,37.5018711,126.9502296
24,블랑제리꾸끄,서울 동작구 만양로 37 1층,37.5077294,126.9476242
25,이공커피 흑석본점,서울 동작구 서달로 151 이공커피,37.5069677,126.9615338
26,커피나무 랩,서울 동작구 상도로53길 65 커피나무빌딩 1층,37.5029504,126.9538462
27,러윗츠,서울 동작구 상도로41길 24 1층,37.5019925,126.9504891
28,컴포즈커피 중앙대점,서울 동작구 흑석로 109 1층,37.5083049,126.9611050
29,설빙 서울중앙대점,서울 동작구 흑석로 101-10 2층,37.5081605,126.9608586
30,앳더블랑,서울 동작구 흑석로13가길 33 1층,37.5077947,126.9600071
31,유프카페 중앙대후문점,서울 동작구 흑석로 27 2층,37.5051604,126.9537401
32,그랩커피&브런치,서울 동작구 흑석로8길 12 1층 그랩커피&브런치,37.5066455,126.9595282
33,"카페, 순","서울 동작구 만양로 42 우성아파트 정문 대로변, 우성아파트 정문 대로변, 우성아파트 정문 대로변",37.5080693,126.9476451
34,바로요거,서울 동작구 흑석로 124-1 1층,37.5090545,126.9622149
35,청맥살롱,서울 동작구 서달로 161-1 2층,37.5078135,126.9622591
36,엘리스파이,서울 동작구 흑석로 95 엘리스파이,37.5075205,126.9600450
