,가게이름,도로명,위도,경도
37,LITITCOFFEE,서울 동작구 상도로47바길 48 1층 릿잇커피,37.5040408,126.9533204
38,스타벅스 중앙대점,서울 동작구 흑석로 75-1,37.5069728,126.9581303
39,카페미뇽 중앙대점,서울 동작구 흑석로 97-1 1층,37.5076639,126.9603868
40,스타벅스 숭실대점,서울 동작구 사당로 4,37.4954152,126.9548687
41,이디야커피 상도중앙점,서울 동작구 만양로 17 1층 101 102호,37.5061893,126.9472428
42,그루비,서울 동작구 상도로41길 13 1층,37.5019023,126.9498017
43,매머드익스프레스 중앙대후문점,서울 동작구 흑석로 25 1층,37.5051391,126.9535663
44,배스킨라빈스 흑석DT,서울 동작구 현충로 101 (흑석동) 1층,37.5081001,126.9652391
45,빅컵,서울 동작구 흑석로 14 빅컵,37.5047216,126.9522391
46,마린커피,서울 용산구 이촌로 290 점보상가 1층 7호,37.5182383,126.9787564
47,매머드익스프레스 중앙대점,서울 동작구 흑석로 101,37.5077563,126.9605974
48,멜로드,서울 동작구 상도로49길 7 1층 카페멜로드,37.4992004,126.9520008
49,st.535로스터리카페,서울 동작구 상도로30길 40 두산위브트레지움 2차 상가 106호,37.5040775,126.9426753
50,뚜레쥬르 상도래미안점,서울 동작구 상도로37길 74 유내과의원,37.4979134,126.9528582
51,커피나무 상도점,서울 동작구 흑석로 10 한림고시원 1층 커피나무,37.5047446,126.9517986
52,카페힐,서울 동작구 만양로2길 16,37.5064639,126.9488399
53,커피나무 중앙대정문점,"서울 동작구 흑석로 85-5 1, 2층",37.5073947,126.9591870
54,공차 중앙대점,"서울 동작구 흑석로 83-2 2층, 3층",37.5072676,126.9589355
55,흑석커피,서울 동작구 서달로14가길 5 1층,37.5075508,126.9631086
56,브릿지엣지,서울 동작구 상도로53길 70 상가동 311호,37.5020808,126.9543522
57,배스킨라빈스 중앙대,서울 동작구 흑석로 87,37.5074324,126.9593732
58,카페힐우드,서울 동작구 만양로 50,37.5085234,126.9470879
59,블루포트 중앙대학교102관점,서울 동작구 흑석로 84 중앙대학교 102관,37.5048875,126.9573779
60,할리스 중앙대점,서울 동작구 흑석로 77 지하~5층 (서울특별시 동작구 흑석동 205-3),37.5069826,126.9582464
61,던킨 흑석DT점,서울 동작구 현충로 101 (흑석동) 1층,37.5081001,126.9652391
62,파리바게뜨 중앙대점,서울 동작구 흑석로 106-9,37.5077317,126.9615644
63,위드커피,서울 동작구 흑석로 4 1층,37.5046848,126.9511904
64,스마일꽈배기,서울 동작구 현충로 92 스마일품찹쌀꽈배기,37.5080792,126.9640126
65,커피콩클럽,서울 동작구 현충로 100,37.5077360,126.9646035
66,던킨 중앙대병원점,서울 동작구 흑석로 102 중앙대학교병원,37.5067481,126.9607839
67,카페찌미스,서울 동작구 양녕로 265 지하1층,37.5037391,126.9482562
68,이디야커피 중앙대점,서울 동작구 흑석로 79,37.5070302,126.9584326
69,엘에스와이랩,서울 동작구 노량진로 250,37.5119896,126.9542418
70,하드앤빈스,서울 영등포구 63로 45,37.5207318,126.9369717
71,요세프,서울 동작구 현충로 114,37.5070499,126.9659731
72,더벤티 중앙대점,서울 동작구 흑석로 90 더벤티 중앙대점,37.5072013,126.9596995
73,카페숨,서울 동작구 상도로 329 지하 1층,37.4989998,126.9517093
74,경성찹쌀꽈배기 상도역점,서울 동작구 만양로 8,37.5055102,126.9470280
75,이디야커피 숭실대역점,서울 동작구 사당로 2 이디야커피,37.4954887,126.9547031
76,탐앤탐스 중앙대점,서울 동작구 흑석로 105 2층,37.5080136,126.9609541
77,메이카페,서울 동작구 흑석로 23 2층,37.5050980,126.9533165
78,카페디차,서울 동작구 상도로47길 89,37.5031430,126.9517482
79,이디야 중앙대후문점,서울 동작구 흑석로 20 1층,37.5048250,126.9530532
80,커피에반하다 중앙대점 스마트 무인카페,서울 동작구 흑석동 105-2,37.5083153,126.9605383
81,카페필림,서울 동작구 흑석로 8-1,37.5046990,126.9516588
82,달콩커피,서울 동작구 상도로37길 77 원왕빌딩,37.4976641,126.9533783
83,카페비온후,서울 동작구 현충로 115 명수대상가 1층 카페 비온후,37.5073480,126.9665784
84,커피인더스터디,서울 동작구 만양로3길 20 2층 201호,37.5082134,126.9460900
85,라임플레쉬카페,서울 동작구 서달로 132 1층. B1 .라임플레쉬카페,37.5052385,126.9610756
86,메가MGC커피 상도중앙점,서울 동작구 만양로 14 1층,37.5058592,126.9473881
87,데일리커피,서울 동작구 서달로 150 이랜드해가든상가 1층 116호,37.5066681,126.9622064
88,카페드림 중앙대법학관점,서울 동작구 흑석로 84 중앙대학교 303관 6층,37.5048875,126.9573779
89,블루버블 버블티,서울 동작구 흑석로 85,37.5072903,126.9590957
90,63베이커리,서울 영등포구 63로 50 한화생명빌딩 GF층,37.5198158,126.9403139
91,카페린91,서울 동작구 현충로14길 2 1층,37.5060350,126.9685368
92,파리바게뜨 노들역점,서울 동작구 매봉로 180 (본동),37.5122885,126.9523152
93,빅토리아가든,서울 동작구 매봉로 51 1층 빅토리아,37.5071794,126.9515684
94,모코커피,서울 동작구 서달로13길 11-15,37.5078232,126.9617163
95,아마스빈 중앙대점,서울 동작구 흑석로 88 102호,37.5071120,126.9593658
96,문커피,서울 동작구 상도로47가길 48,37.5018711,126.9502296
97,메가MGC커피 중앙대점,"서울 동작구 흑석로 103 1, 2층",37.5078639,126.9608428
98,카페 러브구스토,서울 동작구 상도로45길 10,37.5003709,126.9509869
99,카페 빈,서울 동작구 강남초등길 10 1층 카페 빈,37.5063839,126.9519384
100,스노우플라워,서울 동작구 서달로 167,37.5080539,126.9628065
101,파리바게뜨 상도건영점,서울 동작구 만양로 12 (상도동 20-8) 은혜빌딩103~105호,37.5057386,126.9472177
102,더치앤빈 흑리단길점,서울 동작구 서달로14길 40,37.5073289,126.9649932
103,오티움 로스터리,서울 동작구 양녕로 279 1층,37.5044776,126.9495014
104,리치몽브레까페,서울 동작구 서달로 158 2층,37.5074679,126.9622122
105,카페 더테이블,서울 동작구 성대로 87 101호,37.4977721,126.9354421
106,이레호두,서울 동작구 양녕로 282 현대슈퍼,37.5043800,126.9502177
107,참베이커리,서울 동작구 상도로37길 78,37.4974504,126.9532858
108,카페 루반,서울 동작구 흑석동 340-1,37.5051098,126.9605621
109,투앤나인,"서울 동작구 매봉로 1 김영삼도서관 2층, 9층",37.5054078,126.9499279
110,베이커즈원,서울 동작구 현충로 131,37.5068757,126.9681965
111,브레드덕,서울 동작구 상도로30길 39,37.5046536,126.9430838
112,우리동네식빵,서울 동작구 만양로 44,37.5082900,126.9473300
113,오카페 흑석점,서울 동작구 서달로14라길 29,37.5068724,126.9647604
114,브라운필투,서울 동작구 상도로37길 72 B 01호,37.4980215,126.9527791
115,뚜레쥬르 중앙대100주년관점,서울 동작구 흑석로 84 100주년기념관,37.5048875,126.9573779
116,리치몽브레 흑석점,서울 동작구 서달로 158,37.5074679,126.9622122
117,오롯이 굽다,서울 동작구 상도로37길 55,37.4993682,126.9518911
118,정우원,서울 동작구 장승배기로 53 1층,37.5023741,126.9400320
119,카페노들수,서울 동작구 노량진로 223 예쁜입시미술학원,37.5129674,126.9508034
120,파리바게트 상도역점,서울 동작구 양녕로 266 1층,37.5033876,126.9486984
121,흑석제과,서울 동작구 서달로 162,37.5076670,126.9624370
122,커피킹,서울 동작구 흑석로 95-1 1층,37.5075952,126.9601303
123,BGT호두단팥빵 숭실대역점,서울 동작구 상도로 370-1,37.4956072,126.9539413
124,갓프레소 본점,서울 동작구 상도로53길 45 1층,37.5012125,126.9534627
125,커피더캠프 흑석역점,서울 동작구 현충로 지하 90 9호선 흑석역 지하 1층 매장 1번,,
126,중앙대310관 카페,서울 동작구 흑석로 84,37.5048875,126.9573779
127,델리앤젤라또 중앙대병원점,서울 동작구 흑석로 102,37.5067481,126.9607839
128,중앙대학교경영관카페드림,서울 동작구 흑석로 84 310관 1층,37.5048875,126.9573779
129,아이스조아 상도6호점,서울 동작구 매봉로 66 1층,37.5077001,126.9517459
130,가성비,서울 동작구 사당로 2 서쪽 1층,37.4954887,126.9547031
131,더웨이,서울 동작구 상도로 357,37.4969506,126.9535536
132,블루포트,서울 동작구 흑석로 84 301관,37.5048875,126.9573779
133,빽다방 숭실대점,서울 동작구 사당로 10 빽다방,37.4953307,126.9554589
134,언니의식빵가게,서울 동작구 서달로14바길 15,37.5068485,126.9645631
135,모코커피,서울 동작구 만양로 19 단지내상가 1층 107호,37.5077974,126.9447636
136,요거프레소 중앙대점,서울 동작구 흑석로8길 1,37.5070921,126.9595597
137,커피집,서울 동작구 상도로30길 40,37.5040775,126.9426753
138,커피향기,서울 동작구 상도로 331 신성약국,37.4988280,126.9518222
139,배스킨라빈스 숭실대점,서울 동작구 상도로 364-1,37.4960820,126.9534408
140,카페잇 중앙대병원점,서울 동작구 흑석로 102 중앙대학교병원,37.5067481,126.9607839
141,메가MGC커피 숭실대입구역점,서울 동작구 상도로 362-1,37.4962619,126.9532842
142,바리스타조앤,서울 동작구 서달로14가길 1,37.5076573,126.9630909
143,어펜딕스,서울 동작구 흑석로 84 의학관,37.5048875,126.9573779
144,블루포트 중앙대학교301관점,서울 동작구 흑석로 84 중앙대학교 301 관3층,37.5048875,126.9573779
145,GOODDAY COFFEE,서울 동작구 노량진로 256,37.5125712,126.9551945
146,스타벅스 숭실대입구역점,서울 동작구 상도로 354,37.4968808,126.9527459
147,커피브라운,서울 동작구 양녕로 269-1,37.5040343,126.9487975
148,크로플덕 오리아가씨 서울대입구점,서울 관악구 청림3길 13 1층,37.4889519,126.9589373
149,카페모찌 중앙대점,서울 동작구 흑석로 102,37.5067481,126.9607839
150,카페아드리아,서울 동작구 서달로 142,37.5060417,126.9612489
151,매머드커피 상도역점,서울 동작구 양녕로 272,37.5037148,126.9493042
152,마담콩cafe,서울 동작구 서달로12가길 8,37.5065524,126.9626289
153,쉬어가는모퉁이커피한잔,서울 동작구 상도로55길 1,37.4972449,126.9534433
154,보트커피,서울 동작구 장승배기로 56 지층 카페,37.5027652,126.9400981
155,비틀쥬스 중앙대학교병원점,서울 동작구 흑석로 102 B115호,37.5067481,126.9607839
156,셀렉토커피 상도두산점,서울 동작구 상도로30길 40,37.5040775,126.9426753
