,place,address,store_date,store_time
75,커피팩토리쏘 24시,서울 동작구 노량진로 196,"['토', '일', '월', '화', '수', '목', '금']","['00:00 - 24:00', '00:00 - 24:00', '00:00 - 24:00', '00:00 - 24:00', '00:00 - 24:00', '00:00 - 24:00', '00:00 - 24:00']"
76,어썸팩토리 상도플레이스,서울 동작구 상도로 294 2~4층,"['토', '일', '월', '화', '수', '목', '금(9/9)']","['07:00 - 새벽 02:00', '07:00 - 새벽 02:00', '07:00 - 새벽 02:00', '07:00 - 새벽 02:00', '07:00 - 새벽 02:00', '07:00 - 새벽 02:00', '추석 연휴07:00 - 새벽 02:00']"
77,관리형독서실 잇올 스파르타 노량진센터 1관,"서울 동작구 노량진로 202 남강타워 9, 10층","['토', '일', '월', '화', '수', '목', '금(9/9)']","['06:00 - 22:00', '08:00 - 22:00', '06:00 - 22:50', '06:00 - 22:50', '06:00 - 22:50', '06:00 - 22:50', '추석 연휴08:00 - 22:00']"
78,독학재수학원 잇올 스파르타 노량진센터 1관,서울 동작구 노량진로 202 남강타워 9층,"['토', '일', '월', '화', '수', '목', '금(9/9)']","['06:00 - 22:00', '08:00 - 22:00', '06:00 - 22:00', '06:00 - 22:00', '06:00 - 22:00', '06:00 - 22:00', '추석 연휴08:00 - 22:00']"
79,작심독서실 노량진1호점,서울 동작구 만양로14길 55-1 B1~6F,['매일'],['00:00 - 24:00']
80,올패스 스터디룸 노량진점,서울 동작구 만양로18길 15 지하,"['토', '일', '월', '화', '수', '목', '금(9/9)']","['10:00 - 22:00', '10:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00', '추석 연휴 휴무']"
81,더스테이 노량진,서울 동작구 만양로14길 62,['매일'],['00:00 - 24:00']
82,더탑스터디카페,서울 용산구 이촌로29길 8-5 유승빌딩 2층,['매일'],['08:00 - 새벽 02:00']
83,하우스터디독서실 노량진센터,서울 동작구 만양로14나길 15,"['토', '일', '월', '화', '수', '목', '금']","['06:30 - 24:00', '07:00 - 23:00', '06:30 - 24:00', '06:30 - 24:00', '06:30 - 24:00', '06:30 - 24:00', '06:30 - 24:00']"
84,마이스터디룸 &카페 노량진점,서울 동작구 만양로14가길 22 2층 마이스터디룸,['매일'],['07:00 - 24:00']
85,하루스터디룸&카페 노량진점,서울 동작구 만양로18길 14 지하1층,"['토', '일', '월', '화', '수', '목', '금']","['09:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00']"
86,괜찮은 스터디룸,서울 동작구 만양로18길 19 지하1층,['매일'],['12:00 - 23:00']
87,옐로스톤스터디룸,서울 동작구 만양로14가길 27 새일중앙교회,['매일'],['09:00 - 22:00']
88,스테이시옷,서울 동작구 장승배기로26길 39 스테이시옷,[],[]
89,삼삼오오 스터디룸,서울 동작구 만양로14가길 32 지하층,['매일'],['00:00 - 24:00']
90,플렉스 스터디룸,서울 동작구 장승배기로28길 26 B1층,['매일'],['07:00 - 23:59']
91,오라스터디룸,서울 동작구 노량진로 140 B114호,['매일'],['00:00 - 24:00']
92,메가트랜디독서실,서울 동작구 장승배기로30길 6-5 태영 오피스텔,['매일'],['00:00 - 24:00']
93,오라스터디라운지 X 블론드커피,서울 동작구 노량진로 140 메가스터디타워 1층 111호,['매일'],['00:00 - 24:00']
94,밍구네다방,서울 동작구 노량진로 132 2층 밍구네다방,"['토', '일', '월', '화', '수', '목', '금']","['07:00 - 24:00', '08:00 - 23:00', '07:00 - 24:00', '07:00 - 24:00', '07:00 - 24:00', '07:00 - 24:00', '07:00 - 24:00']"
95,위드스터디센터,서울 동작구 노량진로 134 HS타워(구 이도타워) 4층 위드스터디(1층 스타벅스),['매일'],['00:00 - 24:00']
96,퍼스트 원룸텔,서울 동작구 장승배기로30길 6,['매일'],['00:00 - 24:00']
97,독학재수학원 잇올 스파르타 노량진센터2관,서울 동작구 노량진로 104 리더스타워 14층,"['토', '일', '월', '화', '수', '목', '금(9/9)']","['06:00 - 22:00', '07:30 - 22:00', '06:00 - 22:00', '06:00 - 22:00', '06:00 - 22:00', '06:00 - 22:00', '추석 연휴08:00 - 22:00']"
98,BBS 독서실,서울 동작구 동작대로29길 77 두성복합상가 102호,[],[]
99,스마티움,서울 관악구 양녕로 74,[],[]
