place,tag_title,tag_count
카페신길동,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '가성비가 좋아요', '인테리어가 멋져요']","[29, 21, 14, 14, 12]"
클라소피,"['커피가 맛있어요', '친절해요', '디저트가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요']","[41, 21, 18, 15, 14]"
더머커피,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '친절해요', '매장이 청결해요']","[130, 82, 66, 65, 50]"
폼앤노말,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요', '음료가 맛있어요', '친절해요']","[138, 124, 62, 62, 51]"
트래버틴,"['커피가 맛있어요', '친절해요', '인테리어가 멋져요', '음료가 맛있어요', '디저트가 맛있어요']","[59, 26, 24, 21, 17]"
카페진정성 여의도점,"['음료가 맛있어요', '커피가 맛있어요', '친절해요', '특별한 메뉴가 있어요', '매장이 청결해요']","[121, 98, 38, 37, 36]"
흑석커피,"['커피가 맛있어요', '친절해요', '매장이 청결해요', '디저트가 맛있어요', '인테리어가 멋져요']","[41, 11, 11, 9, 9]"
하얀과자점,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요', '커피가 맛있어요', '음료가 맛있어요']","[53, 22, 14, 13, 5]"
열린로스터스,"['커피가 맛있어요', '친절해요', '디저트가 맛있어요', '음료가 맛있어요', '매장이 청결해요']","[48, 18, 17, 16, 13]"
오후의 과일,"['디저트가 맛있어요', '커피가 맛있어요', '음료가 맛있어요', '특별한 메뉴가 있어요', '인테리어가 멋져요']","[280, 109, 103, 84, 66]"
모코커피,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '가성비가 좋아요', '대화하기 좋아요']","[30, 7, 7, 6, 5]"
할리스 신림점,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '디저트가 맛있어요', '집중하기 좋아요']","[215, 73, 70, 69, 63]"
자상한시간,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '집중하기 좋아요', '대화하기 좋아요']","[11, 6, 3, 3, 3]"
데이즈커피,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '매장이 청결해요', '디저트가 맛있어요']","[89, 32, 16, 12, 11]"
오목눈이,"['빵이 맛있어요', '특별한 메뉴가 있어요', '커피가 맛있어요', '음료가 맛있어요', '친절해요']","[279, 154, 93, 90, 79]"
카페 출국,[],[]
에이치플레이스,"['커피가 맛있어요', '음료가 맛있어요', '디저트가 맛있어요', '친절해요', '집중하기 좋아요']","[29, 18, 13, 10, 8]"
아티제 여의도롯데캐슬점,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '친절해요', '매장이 청결해요']","[127, 115, 53, 42, 34]"
디저트39 신대방삼거리역점,"['디저트가 맛있어요', '음료가 맛있어요', '커피가 맛있어요', '친절해요', '가성비가 좋아요']","[97, 75, 72, 53, 43]"
황홀경,"['디저트가 맛있어요', '인테리어가 멋져요', '커피가 맛있어요', '특별한 메뉴가 있어요', '음료가 맛있어요']","[87, 87, 83, 51, 48]"
테이블1629,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '대화하기 좋아요', '음료가 맛있어요']","[102, 87, 36, 31, 28]"
카페 버터럼,"['커피가 맛있어요', '친절해요', '디저트가 맛있어요', '인테리어가 멋져요', '매장이 청결해요']","[125, 34, 19, 18, 16]"
루카스커피,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '친절해요', '사진이 잘 나와요']","[267, 226, 192, 183, 148]"
고로커피로스터스,"['커피가 맛있어요', '디저트가 맛있어요', '친절해요', '인테리어가 멋져요', '음료가 맛있어요']","[83, 66, 49, 39, 28]"
도렐 신용산점,"['커피가 맛있어요', '음료가 맛있어요', '특별한 메뉴가 있어요', '인테리어가 멋져요', '디저트가 맛있어요']","[328, 117, 109, 79, 74]"
카페팜스프링스,"['인테리어가 멋져요', '친절해요', '커피가 맛있어요', '특별한 메뉴가 있어요', '디저트가 맛있어요']","[675, 468, 453, 402, 372]"
coffee urban,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요', '매장이 청결해요']","[61, 27, 22, 21, 21]"
투썸플레이스 보라매삼성쉐르빌점,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '친절해요', '매장이 청결해요']","[311, 250, 119, 99, 71]"
탐앤탐스 서울대입구점,[],[]
뉴오리진 동부이촌점,[],[]
파리바게뜨 신대방삼거리역점,[],[]
커피공장103 이촌점,"['커피가 맛있어요', '음료가 맛있어요', '매장이 청결해요', '친절해요', '대화하기 좋아요']","[30, 9, 8, 6, 6]"
E카페,[],[]
스타벅스 동여의도점,[],[]
롤링핀 여의도KBS별관점,[],[]
아티제 동부이촌2점,[],[]
커피빈 서울대입구역점,"['커피가 맛있어요', '음료가 맛있어요', '좌석이 편해요', '대화하기 좋아요', '집중하기 좋아요']","[363, 156, 124, 108, 107]"
TAG GO COFFEE,"['커피가 맛있어요', '친절해요', '디저트가 맛있어요', '음료가 맛있어요', '특별한 메뉴가 있어요']","[13, 11, 9, 9, 9]"
두나미스커피 보라매점,"['커피가 맛있어요', '음료가 맛있어요', '디저트가 맛있어요', '특별한 메뉴가 있어요', '대화하기 좋아요']","[8, 7, 6, 6, 6]"
더플레이트디저트 더현대서울,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '커피가 맛있어요', '친절해요', '음료가 맛있어요']","[164, 59, 48, 25, 11]"
아방 갤러리 카페 용산아이파크몰점,"['커피가 맛있어요', '빵이 맛있어요', '음료가 맛있어요', '인테리어가 멋져요', '매장이 청결해요']","[72, 49, 33, 26, 23]"
안녕과자점,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요', '인테리어가 멋져요', '매장이 청결해요']","[198, 55, 53, 31, 22]"
스타벅스 여의도ABL타워점,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '매장이 청결해요', '디저트가 맛있어요']","[396, 204, 187, 122, 103]"
NIPPY COFFEE,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '디저트가 맛있어요', '사진이 잘 나와요']","[21, 8, 7, 6, 5]"
이디야커피 봉일시장점,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '매장이 청결해요', '디저트가 맛있어요']","[22, 20, 20, 11, 8]"
모코커피,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '대화하기 좋아요', '가성비가 좋아요']","[38, 21, 20, 10, 6]"
카페 청신호,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요', '음료가 맛있어요', '매장이 청결해요']","[24, 14, 10, 9, 5]"
버블브레이크,"['커피가 맛있어요', '친절해요', '디저트가 맛있어요', '음료가 맛있어요', '특별한 메뉴가 있어요']","[11, 7, 5, 5, 5]"
10G,"['커피가 맛있어요', '디저트가 맛있어요', '친절해요', '좌석이 편해요', '매장이 청결해요']","[9, 6, 4, 3, 3]"
시애틀에스프레소,"['커피가 맛있어요', '친절해요', '가성비가 좋아요', '음료가 맛있어요', '대화하기 좋아요']","[36, 20, 20, 17, 12]"
아티제 여의도점,"['디저트가 맛있어요', '커피가 맛있어요', '음료가 맛있어요', '매장이 청결해요', '친절해요']","[299, 244, 102, 73, 69]"
골드문커피,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '매장이 청결해요', '인테리어가 멋져요']","[62, 40, 37, 32, 30]"
시트론오피스,"['디저트가 맛있어요', '음료가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요', '친절해요']","[36, 27, 25, 24, 16]"
보스커피앤브런치,"['커피가 맛있어요', '친절해요', '디저트가 맛있어요', '음료가 맛있어요', '주차하기 편해요']","[14, 12, 5, 4, 3]"
파리크라상 이촌점,"['빵이 맛있어요', '커피가 맛있어요', '매장이 청결해요', '친절해요', '특별한 메뉴가 있어요']","[705, 180, 157, 134, 117]"
온고지신,"['인테리어가 멋져요', '음료가 맛있어요', '디저트가 맛있어요', '커피가 맛있어요', '특별한 메뉴가 있어요']","[53, 50, 44, 41, 41]"
헤븐온탑,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '대화하기 좋아요', '매장이 청결해요']","[10, 4, 4, 4, 3]"
소디스커피 샤로수길점,"['디저트가 맛있어요', '커피가 맛있어요', '음료가 맛있어요', '친절해요', '대화하기 좋아요']","[88, 53, 52, 37, 29]"
카페모아,"['커피가 맛있어요', '가성비가 좋아요', '친절해요', '음료가 맛있어요', '매장이 청결해요']","[117, 28, 25, 21, 21]"
저스트샌드위치,"['친절해요', '디저트가 맛있어요', '커피가 맛있어요', '가성비가 좋아요', '특별한 메뉴가 있어요']","[23, 21, 13, 12, 10]"
스타벅스 동부이촌동점,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '매장이 청결해요', '디저트가 맛있어요']","[350, 144, 106, 77, 75]"
레드콜리,[],[]
채그로,"['뷰가 좋아요', '커피가 맛있어요', '인테리어가 멋져요', '읽을만한 책이 많아요', '집중하기 좋아요']","[26, 17, 13, 12, 11]"
도노텀블 보라매점,"['커피가 맛있어요', '음료가 맛있어요', '디저트가 맛있어요', '친절해요', '인테리어가 멋져요']","[90, 40, 31, 25, 24]"
릿커피 로스터스,"['커피가 맛있어요', '친절해요', '대화하기 좋아요', '매장이 청결해요', '디저트가 맛있어요']","[36, 20, 14, 12, 9]"
abri,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '매장이 청결해요', '대화하기 좋아요']","[38, 18, 17, 10, 9]"
커피팩토리쏘 무역점,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '대화하기 좋아요', '매장이 청결해요']","[55, 32, 20, 20, 17]"
옐로우버터드림,"['디저트가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요', '친절해요', '커피가 맛있어요']","[100, 50, 49, 46, 42]"
인파라다이스,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요', '음료가 맛있어요', '사진이 잘 나와요']","[14, 10, 9, 4, 4]"
비엔나커피하우스 신림점,"['커피가 맛있어요', '친절해요', '집중하기 좋아요', '음료가 맛있어요', '좌석이 편해요']","[309, 146, 129, 121, 100]"
할리스 신림사거리점,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '디저트가 맛있어요', '좌석이 편해요']","[210, 110, 96, 66, 56]"
스타벅스 여의도호성점,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '디저트가 맛있어요', '매장이 청결해요']","[392, 199, 134, 98, 77]"
투썸플레이스 여의도점,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '친절해요', '대화하기 좋아요']","[508, 334, 222, 158, 153]"
토프레소 서울대입구점,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '가성비가 좋아요', '디저트가 맛있어요']","[18, 10, 7, 7, 4]"
샤라라,"['디저트가 맛있어요', '친절해요', '가성비가 좋아요', '매장이 청결해요', '음료가 맛있어요']","[40, 28, 15, 15, 11]"
빌리엔젤 여의도삼성생명점,"['디저트가 맛있어요', '커피가 맛있어요', '음료가 맛있어요', '매장이 청결해요', '인테리어가 멋져요']","[242, 111, 98, 88, 64]"
뉴욕택시디저트,"['디저트가 맛있어요', '친절해요', '특별한 메뉴가 있어요', '커피가 맛있어요', '매장이 청결해요']","[101, 58, 36, 25, 20]"
로즈커피,[],[]
칠하나둘,"['커피가 맛있어요', '친절해요', '디저트가 맛있어요', '음료가 맛있어요', '매장이 청결해요']","[19, 15, 11, 7, 6]"
가온길 서울대입구역점,"['디저트가 맛있어요', '친절해요', '커피가 맛있어요', '특별한 메뉴가 있어요', '음료가 맛있어요']","[59, 33, 32, 30, 26]"
