place,tag_title,tag_count
에이비카페 At Bali,"['인테리어가 멋져요', '커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '대화하기 좋아요']","[559, 403, 357, 255, 198]"
얀 쿠브레 동교점,"['디저트가 맛있어요', '커피가 맛있어요', '특별한 메뉴가 있어요', '인테리어가 멋져요', '매장이 청결해요']","[459, 323, 160, 145, 142]"
크레이트커피,"['커피가 맛있어요', '인테리어가 멋져요', '매장이 청결해요', '디저트가 맛있어요', '음료가 맛있어요']","[88, 45, 26, 25, 21]"
카페레이어드 연남점,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요', '특별한 메뉴가 있어요', '사진이 잘 나와요']","[384, 145, 141, 97, 96]"
커피브론즈,"['커피가 맛있어요', '디저트가 맛있어요', '친절해요', '특별한 메뉴가 있어요', '음료가 맛있어요']","[234, 163, 124, 56, 55]"
적당,"['디저트가 맛있어요', '인테리어가 멋져요', '커피가 맛있어요', '특별한 메뉴가 있어요', '음료가 맛있어요']","[401, 385, 267, 260, 192]"
EGO,"['디저트가 맛있어요', '커피가 맛있어요', '특별한 메뉴가 있어요', '친절해요', '음료가 맛있어요']","[73, 53, 27, 26, 22]"
새검정,"['커피가 맛있어요', '매장이 청결해요', '친절해요', '인테리어가 멋져요', '대화하기 좋아요']","[16, 9, 8, 7, 7]"
블루보틀 역삼 카페,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '매장이 청결해요', '인테리어가 멋져요']","[416, 87, 66, 54, 53]"
서울커피 익선점,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '친절해요']","[305, 244, 155, 98, 67]"
한남작업실,"['커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '대화하기 좋아요', '디저트가 맛있어요']","[140, 88, 69, 62, 55]"
비엔,"['커피가 맛있어요', '디저트가 맛있어요', '친절해요', '인테리어가 멋져요', '대화하기 좋아요']","[22, 13, 12, 11, 7]"
컨플릭트스토어 신사 본점,"['커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '특별한 메뉴가 있어요', '매장이 청결해요']","[48, 29, 16, 15, 13]"
도렐 신용산점,"['커피가 맛있어요', '음료가 맛있어요', '특별한 메뉴가 있어요', '인테리어가 멋져요', '디저트가 맛있어요']","[328, 117, 109, 79, 74]"
블루보틀 광화문 카페,"['커피가 맛있어요', '친절해요', '매장이 청결해요', '음료가 맛있어요', '인테리어가 멋져요']","[1693, 635, 550, 461, 460]"
채그로,"['뷰가 좋아요', '커피가 맛있어요', '인테리어가 멋져요', '읽을만한 책이 많아요', '집중하기 좋아요']","[26, 17, 13, 12, 11]"
북카페세모,"['음료가 맛있어요', '커피가 맛있어요', '친절해요', '집중하기 좋아요', '매장이 청결해요']","[113, 110, 100, 98, 92]"
아우어베이커리 가로수길점,"['빵이 맛있어요', '커피가 맛있어요', '음료가 맛있어요', '특별한 메뉴가 있어요', '인테리어가 멋져요']","[175, 70, 39, 39, 35]"
알베르,"['커피가 맛있어요', '인테리어가 멋져요', '대화하기 좋아요', '디저트가 맛있어요', '뷰가 좋아요']","[282, 231, 155, 153, 141]"
프릳츠 양재점,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '친절해요', '음료가 맛있어요']","[981, 749, 345, 285, 263]"
수수커피 강남N타워점,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요', '친절해요']","[113, 39, 34, 24, 21]"
샌드커피 논탄토 연남,"['커피가 맛있어요', '특별한 메뉴가 있어요', '디저트가 맛있어요', '친절해요', '음료가 맛있어요']","[243, 142, 101, 83, 74]"
리플로우 연남점,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '인테리어가 멋져요', '매장이 청결해요']","[163, 59, 43, 43, 41]"
작당모의,"['디저트가 맛있어요', '커피가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요', '친절해요']","[189, 146, 142, 118, 69]"
하우스서울,"['커피가 맛있어요', '인테리어가 멋져요', '매장이 청결해요', '음료가 맛있어요', '대화하기 좋아요']","[100, 68, 42, 32, 32]"
당도,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요', '매장이 청결해요', '커피가 맛있어요']","[262, 126, 110, 37, 24]"
투떰즈업,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요', '매장이 청결해요', '음료가 맛있어요']","[293, 145, 89, 49, 15]"
우니쿠스커피,"['커피가 맛있어요', '대화하기 좋아요', '음료가 맛있어요', '친절해요', '매장이 청결해요']","[39, 19, 15, 15, 14]"
아띠랑스,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요', '매장이 청결해요', '음료가 맛있어요']","[384, 226, 219, 156, 150]"
커피한약방,"['커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '사진이 잘 나와요', '디저트가 맛있어요']","[590, 382, 165, 143, 141]"
사생활,"['인테리어가 멋져요', '특별한 메뉴가 있어요', '친절해요', '커피가 맛있어요', '대화하기 좋아요']","[592, 585, 405, 333, 315]"
SADDLER HAUS,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요', '인테리어가 멋져요', '매장이 청결해요']","[730, 250, 157, 131, 108]"
블루보틀 성수 카페,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '인테리어가 멋져요', '매장이 청결해요']","[2067, 865, 719, 659, 630]"
이퀼리브리엄 커피,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요', '매장이 청결해요', '음료가 맛있어요']","[34, 28, 20, 19, 17]"
밀리,"['커피가 맛있어요', '매장이 청결해요', '친절해요', '음료가 맛있어요', '디저트가 맛있어요']","[37, 14, 13, 12, 9]"
러스트 베이커리,"['빵이 맛있어요', '커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '특별한 메뉴가 있어요']","[1449, 537, 396, 226, 205]"
더달달,"['디저트가 맛있어요', '음료가 맛있어요', '커피가 맛있어요', '특별한 메뉴가 있어요', '친절해요']","[247, 116, 102, 89, 86]"
스탠스커피,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '친절해요', '음료가 맛있어요']","[116, 40, 29, 27, 26]"
BELOW SEONGSOO,"['커피가 맛있어요', '친절해요', '음료가 맛있어요', '인테리어가 멋져요', '매장이 청결해요']","[87, 63, 59, 58, 44]"
마를리,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '매장이 청결해요']","[407, 307, 256, 222, 132]"
티앙팡 오후의 홍차,"['음료가 맛있어요', '디저트가 맛있어요', '특별한 메뉴가 있어요', '인테리어가 멋져요', '친절해요']","[140, 108, 78, 71, 65]"
무너미,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '특별한 메뉴가 있어요']","[62, 42, 21, 19, 18]"
카키바움,"['커피가 맛있어요', '친절해요', '인테리어가 멋져요', '음료가 맛있어요', '특별한 메뉴가 있어요']","[120, 100, 89, 58, 54]"
네로우 패스,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '친절해요']","[91, 76, 56, 40, 28]"
퍼스널커피,"['커피가 맛있어요', '친절해요', '디저트가 맛있어요', '매장이 청결해요', '음료가 맛있어요']","[149, 90, 78, 68, 59]"
카페스콘,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '대화하기 좋아요']","[92, 59, 43, 34, 29]"
땡스오트 연남,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '인테리어가 멋져요', '친절해요', '매장이 청결해요']","[119, 87, 56, 47, 39]"
오린지,"['디저트가 맛있어요', '인테리어가 멋져요', '커피가 맛있어요', '음료가 맛있어요', '사진이 잘 나와요']","[103, 66, 65, 48, 38]"
로우키,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요', '음료가 맛있어요', '대화하기 좋아요']","[157, 60, 57, 43, 26]"
비하인드,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요', '음료가 맛있어요', '대화하기 좋아요']","[61, 38, 37, 25, 25]"
문래방구,"['커피가 맛있어요', '인테리어가 멋져요', '친절해요', '사진이 잘 나와요', '특별한 메뉴가 있어요']","[47, 30, 27, 14, 14]"
소진담 신사점,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '친절해요', '매장이 청결해요', '커피가 맛있어요']","[688, 220, 177, 162, 150]"
오지힐,"['디저트가 맛있어요', '커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '특별한 메뉴가 있어요']","[184, 144, 79, 73, 60]"
8번가,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요', '음료가 맛있어요', '집중하기 좋아요']","[123, 78, 76, 50, 49]"
연남방앗간,"['커피가 맛있어요', '인테리어가 멋져요', '특별한 메뉴가 있어요', '음료가 맛있어요', '디저트가 맛있어요']","[67, 54, 40, 39, 32]"
테라로사 포스코센터점,"['커피가 맛있어요', '인테리어가 멋져요', '디저트가 맛있어요', '매장이 청결해요', '대화하기 좋아요']","[1211, 791, 435, 320, 286]"
아티제 서초역점,"['커피가 맛있어요', '디저트가 맛있어요', '매장이 청결해요', '음료가 맛있어요', '친절해요']","[514, 466, 209, 207, 150]"
레이더,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '친절해요']","[154, 135, 101, 97, 68]"
플랜트,"['특별한 메뉴가 있어요', '친절해요', '인테리어가 멋져요', '디저트가 맛있어요', '음료가 맛있어요']","[269, 112, 93, 85, 62]"
잼잼,"['음식이 맛있어요', '친절해요', '인테리어가 멋져요', '특별한 메뉴가 있어요', '매장이 청결해요']","[156, 112, 108, 94, 63]"
인바이티드,"['커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '친절해요', '대화하기 좋아요']","[85, 51, 35, 30, 28]"
던킨 라이브 강남,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '매장이 청결해요', '친절해요', '커피가 맛있어요']","[1245, 627, 516, 497, 481]"
에뚜왈,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요', '매장이 청결해요', '인테리어가 멋져요']","[423, 118, 115, 42, 30]"
5to7,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '인테리어가 멋져요', '친절해요']","[205, 199, 107, 99, 65]"
카페하이웨스트 익선점,"['디저트가 맛있어요', '인테리어가 멋져요', '커피가 맛있어요', '음료가 맛있어요', '특별한 메뉴가 있어요']","[281, 142, 137, 69, 69]"
에픽에스프레소더커피바,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '매장이 청결해요', '인테리어가 멋져요']","[43, 18, 16, 12, 9]"
커피앤시가렛,"['뷰가 좋아요', '커피가 맛있어요', '인테리어가 멋져요', '사진이 잘 나와요', '음료가 맛있어요']","[274, 156, 96, 92, 71]"
식물,"['커피가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '디저트가 맛있어요', '친절해요']","[185, 160, 129, 118, 104]"
라라브레드 송파점,"['디저트가 맛있어요', '커피가 맛있어요', '특별한 메뉴가 있어요', '친절해요', '매장이 청결해요']","[726, 246, 240, 169, 131]"
리사르커피,"['커피가 맛있어요', '가성비가 좋아요', '특별한 메뉴가 있어요', '친절해요', '음료가 맛있어요']","[167, 62, 55, 53, 31]"
생각이나서,"['커피가 맛있어요', '음료가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '특별한 메뉴가 있어요']","[40, 24, 21, 17, 13]"
디저티스트,"['디저트가 맛있어요', '특별한 메뉴가 있어요', '커피가 맛있어요', '친절해요', '음료가 맛있어요']","[348, 187, 134, 101, 85]"
차마시는뜰,"['차가 맛있어요', '친절해요', '뷰가 좋아요', '인테리어가 멋져요', '음료가 맛있어요']","[278, 178, 158, 137, 90]"
고센인코퍼레이티드 청담점,"['인테리어가 멋져요', '커피가 맛있어요', '디저트가 맛있어요', '특별한 메뉴가 있어요', '대화하기 좋아요']","[57, 40, 40, 34, 33]"
머치커피,"['커피가 맛있어요', '음료가 맛있어요', '친절해요', '인테리어가 멋져요', '대화하기 좋아요']","[77, 26, 24, 22, 17]"
포비 베이직,"['빵이 맛있어요', '커피가 맛있어요', '인테리어가 멋져요', '친절해요', '음료가 맛있어요']","[546, 331, 218, 128, 124]"
오잇,"['커피가 맛있어요', '디저트가 맛있어요', '뷰가 좋아요', '인테리어가 멋져요', '사진이 잘 나와요']","[101, 94, 88, 46, 39]"
티노마드,"['인테리어가 멋져요', '특별한 메뉴가 있어요', '디저트가 맛있어요', '친절해요', '음료가 맛있어요']","[1305, 1038, 978, 890, 866]"
서화커피,"['인테리어가 멋져요', '커피가 맛있어요', '디저트가 맛있어요', '친절해요', '음료가 맛있어요']","[52, 50, 29, 27, 26]"
도산맘마미아,"['디저트가 맛있어요', '인테리어가 멋져요', '커피가 맛있어요', '사진이 잘 나와요', '음료가 맛있어요']","[435, 345, 240, 233, 163]"
카페 더 나인&로플로플3호점,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '집중하기 좋아요', '대화하기 좋아요']","[55, 50, 29, 28, 26]"
어페어커피,"['커피가 맛있어요', '디저트가 맛있어요', '친절해요', '음료가 맛있어요', '매장이 청결해요']","[32, 20, 17, 15, 13]"
타짜도르 강남점,"['커피가 맛있어요', '친절해요', '인테리어가 멋져요', '음료가 맛있어요', '매장이 청결해요']","[143, 50, 45, 43, 43]"
얼스어스,"['디저트가 맛있어요', '커피가 맛있어요', '음료가 맛있어요', '특별한 메뉴가 있어요', '친절해요']","[143, 85, 45, 41, 38]"
바게트케이,"['빵이 맛있어요', '특별한 메뉴가 있어요', '친절해요', '매장이 청결해요', '가성비가 좋아요']","[454, 150, 134, 67, 19]"
이디야커피랩,"['커피가 맛있어요', '디저트가 맛있어요', '인테리어가 멋져요', '음료가 맛있어요', '매장이 청결해요']","[766, 503, 447, 263, 251]"
카페흥신소,"['인테리어가 멋져요', '집중하기 좋아요', '커피가 맛있어요', '음료가 맛있어요', '디저트가 맛있어요']","[10, 8, 7, 7, 6]"
오가다 혜화대학로본사점,"['음료가 맛있어요', '디저트가 맛있어요', '매장이 청결해요', '인테리어가 멋져요', '차가 맛있어요']","[419, 351, 270, 240, 235]"
